Date,Open,High,Low,Adj Close,Volume,Prev Day,Target,Adj Close Change,headline_score
2024-06-11,274.5400085449219,274.8599853515625,272.2200012207031,273.60015869140625,6244600,273.96868896484375,0,-0.13451547139563536,-0.8831203132867813
2024-06-12,276.7699890136719,277.6000061035156,269.8999938964844,269.26708984375,7536600,273.60015869140625,0,-1.5837230754473075,0.6175705989201864
2024-06-13,270.32000732421875,271.8599853515625,269.32000732421875,270.1336975097656,7361200,269.26708984375,1,0.3218394295858795,-0.15087257247222097
2024-06-14,270.1000061035156,271.54998779296875,269.2699890136719,269.60577392578125,8537300,270.1336975097656,0,-0.19543048085116643,-0.5579808482101986
2024-06-17,269.0,271.8299865722656,269.0,270.11376953125,9258200,269.60577392578125,1,0.18842163432619685,0.0014667809009552002
2024-06-18,271.29998779296875,273.8999938964844,271.29998779296875,272.5542297363281,6707500,270.11376953125,1,0.9034934462294419,0.2944327122286746
2024-06-20,273.19000244140625,278.0400085449219,273.1000061035156,275.7417907714844,10164400,272.5542297363281,1,1.1695144258960566,-0.4198341816663742
2024-06-21,277.1700134277344,277.5400085449219,274.5799865722656,274.14801025390625,14790200,275.7417907714844,0,-0.5779974493960283,-0.4242362542585893
2024-06-24,275.32000732421875,280.3900146484375,275.2699890136719,275.2237854003906,24149600,274.14801025390625,1,0.39240669501414693,0.23373932391405106
2024-06-25,276.8500061035156,277.92999267578125,273.5299987792969,272.4645690917969,19897700,275.2237854003906,0,-1.002535556503481,-0.4512163519859314
2024-06-26,272.9100036621094,274.4599914550781,271.75,272.5343322753906,12172000,272.4645690917969,1,0.025604497431097606,0.1987674653530121
2024-06-27,268.510009765625,270.5899963378906,266.5,265.5516357421875,10529100,272.5343322753906,0,-2.5621346400303224,0.005137205123901367
2024-06-28,267.20001220703125,268.6000061035156,261.25,261.4476623535156,13957300,265.5516357421875,0,-1.5454521216567652,-0.024245214462280274
2024-07-01,263.7900085449219,265.7699890136719,261.29998779296875,262.21466064453125,7955800,261.4476623535156,1,0.2933659012711143,0.20881973703702292
2024-07-02,263.239990234375,268.2300109863281,262.3999938964844,267.18524169921875,8697800,262.21466064453125,1,1.8956152346591315,0.0045997947454452515
2024-07-03,269.07000732421875,269.75,268.1499938964844,267.9422607421875,5017800,267.18524169921875,1,0.2833311593688048,-0.2253743310769399
2024-07-05,269.0,270.54998779296875,268.239990234375,269.3069152832031,7986400,267.9422607421875,1,0.509309183715767,-0.12944658313478744
2024-07-08,270.25,271.44000244140625,265.9700012207031,265.3623352050781,8561100,269.3069152832031,0,-1.4647154804684037,-0.03122200071811676
2024-07-09,267.0,267.54998779296875,263.9200134277344,264.4060974121094,6431300,265.3623352050781,0,-0.3603517402836154,-0.06426052252451579
2024-07-10,259.1199951171875,263.4800109863281,258.510009765625,261.9755859375,9635500,264.4060974121094,0,-0.9192342757592065,-0.6915165100778852
2024-07-11,262.1300048828125,263.6300048828125,260.760009765625,261.5273132324219,8803600,261.9755859375,0,-0.17111239716248727,-0.021582841873168945
2024-07-12,264.3399963378906,267.3999938964844,263.6600036621094,264.70489501953125,6627800,261.5273132324219,1,1.215009532975797,0.21109458804130554
2024-07-15,265.6700134277344,269.239990234375,265.25,267.4043884277344,6845200,264.70489501953125,1,1.019812424701838,0.32966885964075726
2024-07-16,268.5199890136719,270.2099914550781,267.3699951171875,268.2012634277344,7869900,267.4043884277344,1,0.2980037106666167,-0.5187715802873883
2024-07-17,268.44000244140625,272.9100036621094,268.239990234375,271.6378479003906,5324700,268.2012634277344,1,1.2813453705382116,0.051418012380599974
2024-07-18,272.2900085449219,273.6199951171875,268.55999755859375,268.1016540527344,5550800,271.6378479003906,0,-1.3018045441712367,-0.4621797800064087
2024-07-19,270.32000732421875,270.95001220703125,264.30999755859375,264.426025390625,6839900,268.1016540527344,0,-1.3709832097441699,0.08511260483000013
2024-07-22,267.2300109863281,268.3999938964844,265.0199890136719,266.667236328125,5313600,264.426025390625,1,0.847575776321241,-0.0641679817979986
